PID	date_sold	store_number	quantity
10486	2019-03-10	471	1
8690	2019-03-10	11	6
300	2019-03-10	199	1
10395	2019-03-10	77	11
4454	2019-03-10	278	7
1990	2019-03-10	189	1
15018	2019-03-10	333	6
17822	2019-03-10	481	1
6921	2019-03-10	419	6
6290	2019-03-10	443	1
9858	2019-03-10	357	7
18779	2019-03-10	452	3
3611	2019-03-10	428	1
5601	2019-03-10	496	1
21333	2019-03-10	415	3
17429	2019-03-10	87	4
8721	2019-03-10	373	5
8111	2019-03-10	196	1
23421	2019-03-10	259	8
3415	2019-03-10	239	1
13008	2019-03-10	27	1
10296	2019-03-10	399	2
20189	2019-03-10	454	6
7552	2019-03-10	232	2
22266	2019-03-10	264	4
11236	2019-03-10	135	1
24122	2019-03-10	55	1
23501	2019-03-10	399	6
23880	2019-03-10	208	1
18755	2019-03-10	176	5
23424	2019-03-10	82	5
9101	2019-03-10	126	3
2496	2019-03-10	342	14
6227	2019-03-10	142	2
7101	2019-03-10	165	1
1365	2019-03-10	351	8
385	2019-03-10	101	5
9930	2019-03-10	349	3
6217	2019-03-10	453	2
17527	2019-03-10	156	3
48	2019-03-10	448	1
2648	2019-03-10	317	3
24624	2019-03-10	115	3
11922	2019-03-10	166	7
10129	2019-03-09	64	8
20392	2019-03-09	55	3
6140	2019-03-09	437	8
14531	2019-03-09	238	4
17257	2019-03-09	444	1
21409	2019-03-09	41	1
22524	2019-03-09	260	8
19388	2019-03-09	33	10
7469	2019-03-09	173	1
23464	2019-03-09	46	2
15703	2019-03-09	366	3
4723	2019-03-09	309	8
5686	2019-03-09	158	1
16029	2019-03-09	171	16
17644	2019-03-09	404	7
3121	2019-03-09	154	1
15409	2019-03-09	177	1
6830	2019-03-09	170	5
17383	2019-03-09	205	2
1045	2019-03-09	274	5
5988	2019-03-09	70	5
4008	2019-03-09	385	4
9424	2019-03-09	327	1
19349	2019-03-09	27	3
21372	2019-03-09	149	5
24561	2019-03-08	224	6
22065	2019-03-08	184	6
23252	2019-03-08	345	1
14207	2019-03-08	314	1
8138	2019-03-08	387	7
20493	2019-03-08	406	1
1420	2019-03-08	289	1
7259	2019-03-08	120	6
7021	2019-03-08	477	4
10002	2019-03-08	411	4
17682	2019-03-08	136	1
17252	2019-03-08	290	12
20300	2019-03-08	360	1
16615	2019-03-08	40	1
7173	2019-03-08	430	6
2367	2019-03-08	186	7
24445	2019-03-08	457	5
14435	2019-03-08	206	3
7951	2019-03-08	199	7
23340	2019-03-08	120	2
12096	2019-03-08	442	3
6644	2019-03-08	399	1
5967	2019-03-08	133	14
8555	2019-03-08	82	1
2760	2019-03-08	358	6
17466	2019-03-08	163	9
6046	2019-03-08	170	1
12685	2019-03-08	170	5
13907	2019-03-08	377	4
7906	2019-03-08	264	5
7382	2019-03-07	157	17
5557	2019-03-07	20	1
5686	2019-03-07	179	6
25062	2019-03-07	352	3
1442	2019-03-07	100	1
8652	2019-03-07	31	7
16596	2019-03-07	321	4
8931	2019-03-07	440	8
17741	2019-03-07	345	3
25040	2019-03-07	115	1
3705	2019-03-07	207	2
10464	2019-03-07	126	37
10400	2019-03-07	452	1
13399	2019-03-07	126	2
24327	2019-03-07	396	6
19553	2019-03-07	331	1
8752	2019-03-07	122	2
8749	2019-03-07	71	16
1844	2019-03-07	310	1
12842	2019-03-07	185	4
13908	2019-03-07	362	7
19505	2019-03-07	172	5
24183	2019-03-07	224	1
16475	2019-03-07	81	5
9018	2019-03-07	252	6
4476	2019-03-07	114	1
16366	2019-03-07	318	2
10056	2019-03-07	168	9
14842	2019-03-07	465	1
1562	2019-03-07	410	4
18107	2019-03-07	219	3
16487	2019-03-07	470	1
23149	2019-03-07	5	1
5772	2019-03-07	134	4
12301	2019-03-07	372	7
17902	2019-03-07	78	14
2043	2019-03-07	166	5
3698	2019-03-07	293	3
10537	2019-03-07	239	1
1146	2019-03-07	122	6
23444	2019-03-07	303	1
17780	2019-03-07	288	1
1341	2019-03-07	424	1
13460	2019-03-07	489	1
9427	2019-03-07	417	6
16166	2019-03-07	391	7
8990	2019-03-06	247	1
17067	2019-03-06	144	2
15272	2019-03-06	163	3
19958	2019-03-06	454	6
15794	2019-03-06	356	4
8490	2019-03-06	179	1
19045	2019-03-06	482	5
15240	2019-03-06	489	1
10622	2019-03-06	260	3
698	2019-03-06	499	1
12301	2019-03-06	52	1
1429	2019-03-06	394	5
7407	2019-03-06	428	2
1156	2019-03-06	189	6
2908	2019-03-06	140	1
16987	2019-03-06	402	4
24092	2019-03-06	12	4
4995	2019-03-06	306	6
1815	2019-03-06	76	3
18493	2019-03-06	140	3
6217	2019-03-06	481	2
13205	2019-03-06	100	6
10738	2019-03-06	256	1
15371	2019-03-06	20	3
2660	2019-03-06	52	2
16447	2019-03-06	359	2
1787	2019-03-06	437	2
17924	2019-03-06	180	4
8479	2019-03-06	74	2
23228	2019-03-06	26	4
16553	2019-03-06	204	16
5764	2019-03-06	408	8
12984	2019-03-06	143	1
11896	2019-03-05	230	1
24240	2019-03-05	343	2
9026	2019-03-05	273	4
11510	2019-03-05	130	5
21956	2019-03-05	204	1
8921	2019-03-05	27	1
4798	2019-03-05	417	4
21823	2019-03-05	387	11
15160	2019-03-05	129	7
1135	2019-03-05	379	1
23972	2019-03-05	153	7
22503	2019-03-05	311	4
18357	2019-03-05	47	7
5557	2019-03-05	146	1
14025	2019-03-05	429	1
18067	2019-03-05	249	8
7272	2019-03-05	378	6
13406	2019-03-05	378	7
15607	2019-03-05	382	2
13035	2019-03-05	297	4
1472	2019-03-05	76	5
18780	2019-03-05	442	1
12207	2019-03-05	374	1
2024	2019-03-05	126	4
14126	2019-03-05	343	2
20053	2019-03-05	307	2
8406	2019-03-05	79	2
10012	2019-03-05	495	4
3278	2019-03-05	325	6
17711	2019-03-05	446	7
4723	2019-03-05	315	4
1703	2019-03-05	96	5
7736	2019-03-05	488	5
24554	2019-03-05	231	6
11750	2019-03-05	311	5
24113	2019-03-05	461	36
8964	2019-03-05	140	1
2688	2019-03-05	234	1
15951	2019-03-05	438	6
11005	2019-03-05	437	12
4208	2019-03-05	207	19
7178	2019-03-05	199	3
6212	2019-03-05	482	2
19964	2019-03-05	97	1
15567	2019-03-05	52	3
8004	2019-03-04	232	9
23662	2019-03-04	67	1
5551	2019-03-04	7	1
4601	2019-03-04	143	1
20085	2019-03-04	329	7
19273	2019-03-04	432	3
6589	2019-03-04	249	6
20704	2019-03-04	287	5
9740	2019-03-04	456	4
11198	2019-03-04	215	3
18041	2019-03-04	280	9
20492	2019-03-04	174	1
13402	2019-03-04	236	6
22998	2019-03-04	9	6
13802	2019-03-04	135	6
7262	2019-03-04	49	2
3442	2019-03-04	76	1
6406	2019-03-04	42	1
22937	2019-03-04	52	6
7582	2019-03-04	55	1
6030	2019-03-04	93	1
11076	2019-03-04	346	2
19439	2019-03-04	317	3
5937	2019-03-04	485	6
15508	2019-03-04	31	9
20055	2019-03-04	438	3
2499	2019-03-04	182	5
24853	2019-03-04	78	2
7912	2019-03-04	450	7
6904	2019-03-04	166	4
23132	2019-03-04	275	4
2756	2019-03-04	204	2
4970	2019-03-04	132	8
15033	2019-03-04	443	1
23733	2019-03-04	490	1
16933	2019-03-04	41	1
20070	2019-03-04	9	3
288	2019-03-04	137	7
6332	2019-03-04	493	6
3280	2019-03-04	153	6
21143	2019-03-04	266	5
8431	2019-03-04	443	3
16353	2019-03-04	427	6
24460	2019-03-04	350	7
3670	2019-03-04	224	3
19974	2019-03-04	274	2
21755	2019-03-04	73	2
13249	2019-03-04	474	3
3303	2019-03-04	368	7
4524	2019-03-04	148	1
17956	2019-03-04	389	5
19411	2019-03-04	317	10
1847	2019-03-04	21	2
6160	2019-03-04	317	6
12635	2019-03-04	494	17
13052	2019-03-04	182	1
20457	2019-03-04	298	1
13853	2019-03-04	458	2
6766	2019-03-03	416	1
15398	2019-03-03	453	3
12519	2019-03-03	320	2
10773	2019-03-03	313	1
23834	2019-03-03	257	1
20610	2019-03-03	282	1
14597	2019-03-03	8	1
14891	2019-03-03	287	1
13346	2019-03-03	481	5
17495	2019-03-03	434	2
24119	2019-03-03	216	5
676	2019-03-03	182	9
20134	2019-03-03	220	3
17868	2019-03-03	408	2
7859	2019-03-03	282	5
21992	2019-03-03	431	1
3559	2019-03-03	104	1
10714	2019-03-03	282	1
24576	2019-03-03	326	5
3019	2019-03-03	264	6
19120	2019-03-03	343	5
20914	2019-03-03	395	2
21385	2019-03-03	263	6
4	2019-03-03	325	4
14976	2019-03-03	304	2
23239	2019-03-03	214	1
4256	2019-03-03	189	4
24379	2019-03-03	450	4
2825	2019-03-03	281	7
11872	2019-03-03	345	6
9634	2019-03-03	137	4
3360	2019-03-03	47	1
21857	2019-03-03	438	2
13586	2019-03-03	106	6
418	2019-03-03	490	2
13856	2019-03-03	31	3
18667	2019-03-03	12	4
14015	2019-03-03	6	1
18983	2019-03-03	261	6
1434	2019-03-03	386	1
6908	2019-03-03	478	2
25001	2019-03-03	236	1
8034	2019-03-03	464	12
21123	2019-03-03	257	4
24404	2019-03-03	301	7
14400	2019-03-03	1	3
6185	2019-03-03	473	4
22018	2019-03-03	73	14
383	2019-03-03	491	4
24091	2019-03-03	191	4
2856	2019-03-03	101	1
1384	2019-03-03	473	2
15989	2019-03-03	52	5
1246	2019-03-02	7	3
149	2019-03-02	484	4
12532	2019-03-02	445	1
7114	2019-03-02	20	5
3178	2019-03-02	221	9
10015	2019-03-02	380	16
13785	2019-03-02	496	20
19291	2019-03-02	197	3
18708	2019-03-02	336	3
4662	2019-03-02	29	3
20896	2019-03-02	291	4
5111	2019-03-02	259	1
18305	2019-03-02	389	1
2152	2019-03-02	125	1
18932	2019-03-02	488	6
15218	2019-03-02	457	8
11715	2019-03-02	310	2
1735	2019-03-02	456	2
14425	2019-03-02	213	3
22623	2019-03-02	54	1
698	2019-03-02	215	4
10073	2019-03-02	42	5
13941	2019-03-02	148	1
24495	2019-03-02	1	2
19079	2019-03-02	172	4
2031	2019-03-02	431	4
4893	2019-03-02	100	1
15532	2019-03-02	209	2
25242	2019-03-02	259	2
18492	2019-03-02	61	1
10715	2019-03-02	182	3
15807	2019-03-02	278	2
4035	2019-03-02	55	6
7315	2019-03-02	218	7
21308	2019-03-02	146	10
12517	2019-03-02	222	4
13197	2019-03-02	368	5
15453	2019-03-02	156	18
10655	2019-03-02	194	1
5631	2019-03-02	195	5
11692	2019-03-02	158	5
21102	2019-03-02	319	2
2245	2019-03-02	258	1
10575	2019-03-02	114	1
20936	2019-03-01	377	2
21641	2019-03-01	46	5
7309	2019-03-01	424	1
6962	2019-03-01	199	7
6551	2019-03-01	208	4
21140	2019-03-01	188	2
25009	2019-03-01	101	3
11218	2019-03-01	214	1
7399	2019-03-01	375	3
10561	2019-03-01	49	2
18329	2019-03-01	483	1
24360	2019-03-01	141	3
18424	2019-03-01	338	6
350	2019-03-01	175	1
14412	2019-03-01	22	1
5304	2019-03-01	182	19
18935	2019-03-01	149	26
12861	2019-03-01	168	1
12807	2019-03-01	192	1
22647	2019-03-01	55	9
3812	2019-03-01	36	1
20059	2019-03-01	80	1
14010	2019-03-01	206	1
16119	2019-03-01	433	7
21330	2019-03-01	51	1
14351	2019-03-01	282	6
1793	2019-03-01	451	5
22447	2019-03-01	402	1
20246	2019-03-01	228	2
14754	2019-03-01	395	6
22711	2019-03-01	378	4
1656	2019-03-01	293	3
16519	2019-03-01	461	6
7537	2019-03-01	71	6
4756	2019-03-01	271	4
917	2019-03-01	162	1
24090	2019-03-01	366	1
614	2019-03-01	126	9
2891	2019-03-01	65	2
5	2019-03-01	224	5
25153	2019-03-01	168	1
12038	2019-03-01	107	6
16045	2019-03-01	186	18
11507	2019-02-28	263	7
18420	2019-02-28	436	1
2381	2019-02-28	406	7
22720	2019-02-28	53	3
24702	2019-02-28	281	1
18880	2019-02-28	341	1
24399	2019-02-28	493	2
23435	2019-02-28	16	31
8732	2019-02-28	280	8
20746	2019-02-28	462	19
15467	2019-02-28	141	1
11914	2019-02-28	72	14
14968	2019-02-28	188	6
20385	2019-02-28	258	2
15146	2019-02-28	433	1
12895	2019-02-28	464	2
7465	2019-02-28	277	6
24172	2019-02-28	495	7
8624	2019-02-28	446	6
10527	2019-02-28	255	4
5610	2019-02-28	288	6
21448	2019-02-28	364	1
17946	2019-02-28	202	4
14134	2019-02-28	22	7
17884	2019-02-28	415	3
5507	2019-02-28	246	4
6450	2019-02-28	352	3
6396	2019-02-28	99	5
2306	2019-02-28	259	4
9372	2019-02-28	360	2
4422	2019-02-28	421	6
16795	2019-02-28	338	5
23772	2019-02-28	136	6
23117	2019-02-28	469	3
5507	2019-02-28	129	6
22957	2019-02-28	51	1
1070	2019-02-28	180	4
16128	2019-02-28	420	4
3712	2019-02-28	342	6
3670	2019-02-28	158	2
21981	2019-02-28	408	1
6105	2019-02-28	30	6
18735	2019-02-28	459	5
17779	2019-02-28	440	5
17911	2019-02-28	173	5
944	2019-02-28	334	3
22470	2019-02-28	20	2
18287	2019-02-28	306	2
7919	2019-02-28	275	3
726	2019-02-28	414	6
8907	2019-02-28	243	3
16716	2019-02-28	379	1
19851	2019-02-28	120	2
20492	2019-02-28	170	1
8099	2019-02-28	111	1
3971	2019-02-28	160	5
13044	2019-02-28	48	10
4057	2019-02-27	91	5
20997	2019-02-27	175	4
2039	2019-02-27	222	3
1802	2019-02-27	482	3
5893	2019-02-27	273	1
11737	2019-02-27	428	14
24193	2019-02-27	418	5
262	2019-02-27	272	4
17591	2019-02-27	454	3
3145	2019-02-27	405	18
17082	2019-02-27	140	3
19279	2019-02-27	132	1
20487	2019-02-27	17	15
6259	2019-02-27	352	7
16380	2019-02-27	219	1
5547	2019-02-27	112	4
22574	2019-02-27	469	3
11685	2019-02-27	480	1
15482	2019-02-27	76	6
12820	2019-02-27	91	16
4737	2019-02-27	68	3
14133	2019-02-27	12	37
19711	2019-02-27	191	2
164	2019-02-27	296	5
10122	2019-02-27	218	1
9427	2019-02-27	213	2
4913	2019-02-27	140	1
15035	2019-02-27	23	3
9573	2019-02-27	47	4
2616	2019-02-27	261	2
24001	2019-02-27	178	4
9112	2019-02-27	273	2
9807	2019-02-27	134	6
18052	2019-02-27	359	1
12320	2019-02-27	481	3
13874	2019-02-27	382	6
8635	2019-02-27	492	7
2855	2019-02-27	123	3
12843	2019-02-27	74	7
17106	2019-02-27	323	3
18717	2019-02-27	96	1
19279	2019-02-27	421	6
5489	2019-02-27	452	1
11793	2019-02-27	343	1
4238	2019-02-27	172	3
4740	2019-02-27	82	1
8451	2019-02-27	44	6
18472	2019-02-27	154	1
20284	2019-02-27	58	1
3647	2019-02-27	273	3
9892	2019-02-27	101	6
14950	2019-02-27	148	5
20043	2019-02-27	354	3
3559	2019-02-27	14	3
16157	2019-02-27	75	7
14893	2019-02-27	381	6
6191	2019-02-27	312	4
12857	2019-02-27	60	23
19616	2019-02-26	466	7
23901	2019-02-26	212	3
16209	2019-02-26	79	2
22082	2019-02-26	118	1
24582	2019-02-26	313	5
7639	2019-02-26	300	1
20116	2019-02-26	25	1
23292	2019-02-26	139	2
18954	2019-02-26	75	4
13998	2019-02-26	441	6
20741	2019-02-26	156	3
16181	2019-02-26	445	5
10117	2019-02-26	362	1
21316	2019-02-26	473	1
10576	2019-02-26	282	1
3483	2019-02-26	113	2
15788	2019-02-26	280	1
5756	2019-02-26	448	3
2476	2019-02-26	336	3
3924	2019-02-26	438	4
11905	2019-02-26	426	4
23881	2019-02-26	359	3
13106	2019-02-26	271	8
16224	2019-02-26	34	7
21266	2019-02-26	307	3
23724	2019-02-26	28	2
2221	2019-02-26	361	4
9479	2019-02-26	117	5
15249	2019-02-26	289	5
16801	2019-02-26	284	2
17274	2019-02-26	325	2
7557	2019-02-26	466	7
284	2019-02-26	385	2
11505	2019-02-26	313	35
10256	2019-02-26	424	6
1804	2019-02-26	262	6
7202	2019-02-26	378	2
24995	2019-02-26	101	3
3167	2019-02-26	336	1
1355	2019-02-26	179	1
18989	2019-02-26	299	3
22735	2019-02-26	307	5
11091	2019-02-26	184	7
1514	2019-02-26	47	1
15569	2019-02-26	219	1
5930	2019-02-26	142	2
3013	2019-02-26	311	3
9591	2019-02-26	483	1
8400	2019-02-26	151	3
19813	2019-02-26	464	1
21120	2019-02-26	458	1
2660	2019-02-26	192	6
24877	2019-02-26	32	3
15305	2019-02-26	117	1
13455	2019-02-26	112	1
12486	2019-02-25	236	5
11838	2019-02-25	212	1
24179	2019-02-25	349	7
2918	2019-02-25	274	6
13815	2019-02-25	103	1
8644	2019-02-25	383	6
9701	2019-02-25	23	2
16699	2019-02-25	486	2
3756	2019-02-25	283	4
16062	2019-02-25	196	1
5967	2019-02-25	429	12
15109	2019-02-25	336	3
5683	2019-02-25	7	6
7399	2019-02-25	333	2
6788	2019-02-25	266	2
7211	2019-02-25	356	2
12116	2019-02-25	393	5
21686	2019-02-25	141	36
5049	2019-02-25	448	6
17779	2019-02-25	22	3
3257	2019-02-25	5	9
11025	2019-02-25	374	1
15205	2019-02-25	396	6
17023	2019-02-25	77	18
19403	2019-02-25	490	9
1825	2019-02-25	177	1
24828	2019-02-25	203	4
12346	2019-02-25	180	6
10836	2019-02-25	212	15
23725	2019-02-25	245	18
8691	2019-02-25	330	4
9057	2019-02-25	97	6
3233	2019-02-25	64	4
24138	2019-02-25	195	5
22260	2019-02-25	106	3
14849	2019-02-25	223	5
10121	2019-02-25	234	2
16512	2019-02-25	434	6
8026	2019-02-25	9	3
15655	2019-02-25	488	6
10066	2019-02-25	133	2
6992	2019-02-25	143	5
12277	2019-02-25	49	1
4917	2019-02-25	93	1
9766	2019-02-25	439	3
11281	2019-02-25	152	5
15794	2019-02-25	102	6
182	2019-02-25	143	3
22330	2019-02-25	372	1
20715	2019-02-25	228	5
14382	2019-02-25	337	1
6982	2019-02-25	323	5
10185	2019-02-25	37	1
12877	2019-02-25	396	12
22998	2019-02-25	432	4
2452	2019-02-25	193	3
15042	2019-02-25	29	1
12507	2019-02-25	496	3
18269	2019-02-25	241	2
5463	2019-02-25	160	7
7544	2019-02-25	178	4
12119	2019-02-25	324	6
13127	2019-02-25	403	1
2461	2019-02-24	279	6
23901	2019-02-24	22	1
23782	2019-02-24	485	1
14884	2019-02-24	421	1
12243	2019-02-24	346	3
22231	2019-02-24	123	1
14238	2019-02-24	34	3
24653	2019-02-24	81	5
17248	2019-02-24	223	3
11059	2019-02-24	24	9
21117	2019-02-24	163	4
6816	2019-02-24	330	1
533	2019-02-24	8	6
14809	2019-02-24	282	18
20386	2019-02-24	404	6
7774	2019-02-24	378	6
10078	2019-02-24	27	1
10064	2019-02-24	416	4
10628	2019-02-24	487	6
21756	2019-02-24	462	7
17778	2019-02-24	31	3
9283	2019-02-24	283	17
16977	2019-02-24	246	2
25160	2019-02-24	25	2
6625	2019-02-24	477	1
23334	2019-02-24	307	1
24903	2019-02-24	97	1
12638	2019-02-24	334	2
7938	2019-02-24	300	18
3402	2019-02-24	375	2
22271	2019-02-24	210	6
18544	2019-02-24	158	3
1330	2019-02-24	95	9
17691	2019-02-24	403	3
4163	2019-02-24	85	2
21549	2019-02-24	17	1
14555	2019-02-24	156	5
11711	2019-02-24	389	3
14175	2019-02-24	142	6
21297	2019-02-24	60	2
10278	2019-02-24	286	6
4808	2019-02-24	367	5
19552	2019-02-24	464	1
10785	2019-02-24	48	6
11253	2019-02-24	281	9
21408	2019-02-24	308	7
21729	2019-02-24	471	5
6268	2019-02-24	140	1
9228	2019-02-24	339	6
11870	2019-02-24	30	3
16837	2019-02-24	14	7
5484	2019-02-24	367	2
23903	2019-02-24	339	1
17596	2019-02-24	400	3
15202	2019-02-24	95	6
11390	2019-02-24	358	3
1748	2019-02-24	329	5
1797	2019-02-24	293	1
23796	2019-02-24	70	6
14443	2019-02-24	435	6
1709	2019-02-24	421	7
4035	2019-02-24	173	1
17976	2019-02-23	297	5
11877	2019-02-23	447	2
13734	2019-02-23	455	2
23609	2019-02-23	204	6
12373	2019-02-23	344	1
16917	2019-02-23	467	6
12401	2019-02-23	88	1
3685	2019-02-23	113	1
238	2019-02-23	500	2
7397	2019-02-23	217	6
1767	2019-02-23	176	3
16087	2019-02-23	232	6
19815	2019-02-23	309	4
7875	2019-02-23	254	1
12628	2019-02-23	249	4
6234	2019-02-23	14	6
20815	2019-02-23	201	4
16550	2019-02-23	105	7
4581	2019-02-23	334	5
22979	2019-02-23	200	5
2534	2019-02-23	208	3
3956	2019-02-23	126	9
20872	2019-02-23	449	6
21371	2019-02-23	24	3
12561	2019-02-23	334	6
9505	2019-02-23	205	1
14593	2019-02-23	109	7
2619	2019-02-23	363	3
12880	2019-02-23	175	2
5536	2019-02-23	496	6
4899	2019-02-23	128	1
24034	2019-02-23	44	2
15596	2019-02-23	432	2
5437	2019-02-23	167	7
17663	2019-02-23	140	4
14361	2019-02-23	320	5
20095	2019-02-23	148	7
1735	2019-02-23	226	2
11307	2019-02-23	66	5
3677	2019-02-23	426	6
19551	2019-02-23	80	3
5198	2019-02-23	214	4
3933	2019-02-23	476	19
4225	2019-02-23	376	4
15003	2019-02-23	96	3
7110	2019-02-23	271	1
21837	2019-02-23	296	2
16811	2019-02-23	147	7
14282	2019-02-23	347	6
6231	2019-02-23	226	1
12617	2019-02-23	212	12
2079	2019-02-23	207	4
21541	2019-02-23	371	4
18486	2019-02-23	431	1
15952	2019-02-22	465	4
11859	2019-02-22	205	4
12350	2019-02-22	222	8
18102	2019-02-22	145	10
11258	2019-02-22	12	6
5322	2019-02-22	496	1
