PID,store_number,business_date,quantity
21372,149,2019/3/9,5
24561,224,2019/3/8,6
22065,184,2019/3/8,6
23252,345,2019/3/8,1
14207,314,2019/3/8,1
8138,387,2019/3/8,7
20493,406,2019/3/8,1
1420,289,2019/3/8,1
7259,120,2019/3/8,6
7021,477,2019/3/8,4
10002,411,2019/3/8,4
17682,136,2019/3/8,1
17252,290,2019/3/8,12
20300,360,2019/3/8,1
16615,40,2019/3/8,1
7173,430,2019/3/8,6
2367,186,2019/3/8,7
24445,457,2019/3/8,5
14435,206,2019/3/8,3
7951,199,2019/3/8,7
23340,120,2019/3/8,2
12096,442,2019/3/8,3
6644,399,2019/3/8,1
5967,133,2019/3/8,14
8555,82,2019/3/8,1
2760,358,2019/3/8,6
17466,163,2019/3/8,9
6046,170,2019/3/8,1
12685,170,2019/3/8,5
13907,377,2019/3/8,4
7906,264,2019/3/8,5
7382,157,2019/3/7,17
5557,20,2019/3/7,1
5686,179,2019/3/7,6
25062,352,2019/3/7,3
1442,100,2019/3/7,1
8652,31,2019/3/7,7
16596,321,2019/3/7,4
8931,440,2019/3/7,8
17741,345,2019/3/7,3
25040,115,2019/3/7,1
3705,207,2019/3/7,2
10464,126,2019/3/7,37
10400,452,2019/3/7,1
13399,126,2019/3/7,2
24327,396,2019/3/7,6
19553,331,2019/3/7,1
8752,122,2019/3/7,2
8749,71,2019/3/7,16
1844,310,2019/3/7,1
12842,185,2019/3/7,4
13908,362,2019/3/7,7
19505,172,2019/3/7,5
24183,224,2019/3/7,1
16475,81,2019/3/7,5
9018,252,2019/3/7,6
4476,114,2019/3/7,1
16366,318,2019/3/7,2
10056,168,2019/3/7,9
14842,465,2019/3/7,1
1562,410,2019/3/7,4
18107,219,2019/3/7,3
16487,470,2019/3/7,1
23149,5,2019/3/7,1
5772,134,2019/3/7,4
12301,372,2019/3/7,7
17902,78,2019/3/7,14
2043,166,2019/3/7,5
3698,293,2019/3/7,3
10537,239,2019/3/7,1
1146,122,2019/3/7,6
23444,303,2019/3/7,1
17780,288,2019/3/7,1
1341,424,2019/3/7,1
13460,489,2019/3/7,1
9427,417,2019/3/7,6
16166,391,2019/3/7,7
8990,247,2019/3/6,1
17067,144,2019/3/6,2
15272,163,2019/3/6,3
19958,454,2019/3/6,6
15794,356,2019/3/6,4
8490,179,2019/3/6,1
19045,482,2019/3/6,5
15240,489,2019/3/6,1
10622,260,2019/3/6,3
698,499,2019/3/6,1
12301,52,2019/3/6,1
1429,394,2019/3/6,5
7407,428,2019/3/6,2
1156,189,2019/3/6,6
2908,140,2019/3/6,1
16987,402,2019/3/6,4
24092,12,2019/3/6,4
4995,306,2019/3/6,6
1815,76,2019/3/6,3
18493,140,2019/3/6,3
6217,481,2019/3/6,2
13205,100,2019/3/6,6
10738,256,2019/3/6,1
15371,20,2019/3/6,3
2660,52,2019/3/6,2
16447,359,2019/3/6,2
1787,437,2019/3/6,2
17924,180,2019/3/6,4
8479,74,2019/3/6,2
23228,26,2019/3/6,4
16553,204,2019/3/6,16
5764,408,2019/3/6,8
12984,143,2019/3/6,1
11896,230,2019/3/5,1
24240,343,2019/3/5,2
9026,273,2019/3/5,4
11510,130,2019/3/5,5
21956,204,2019/3/5,1
8921,27,2019/3/5,1
4798,417,2019/3/5,4
21823,387,2019/3/5,11
15160,129,2019/3/5,7
1135,379,2019/3/5,1
23972,153,2019/3/5,7
22503,311,2019/3/5,4
18357,47,2019/3/5,7
5557,146,2019/3/5,1
14025,429,2019/3/5,1
18067,249,2019/3/5,8
7272,378,2019/3/5,6
13406,378,2019/3/5,7
15607,382,2019/3/5,2
13035,297,2019/3/5,4
1472,76,2019/3/5,5
18780,442,2019/3/5,1
12207,374,2019/3/5,1
2024,126,2019/3/5,4
14126,343,2019/3/5,2
20053,307,2019/3/5,2
8406,79,2019/3/5,2
10012,495,2019/3/5,4
3278,325,2019/3/5,6
17711,446,2019/3/5,7
4723,315,2019/3/5,4
1703,96,2019/3/5,5
7736,488,2019/3/5,5
24554,231,2019/3/5,6
11750,311,2019/3/5,5
24113,461,2019/3/5,36
8964,140,2019/3/5,1
2688,234,2019/3/5,1
15951,438,2019/3/5,6
11005,437,2019/3/5,12
4208,207,2019/3/5,19
7178,199,2019/3/5,3
6212,482,2019/3/5,2
19964,97,2019/3/5,1
15567,52,2019/3/5,3
8004,232,2019/3/4,9
23662,67,2019/3/4,1
5551,7,2019/3/4,1
4601,143,2019/3/4,1
20085,329,2019/3/4,7
19273,432,2019/3/4,3
6589,249,2019/3/4,6
20704,287,2019/3/4,5
9740,456,2019/3/4,4
11198,215,2019/3/4,3
18041,280,2019/3/4,9
20492,174,2019/3/4,1
13402,236,2019/3/4,6
22998,9,2019/3/4,6
13802,135,2019/3/4,6
7262,49,2019/3/4,2
3442,76,2019/3/4,1
6406,42,2019/3/4,1
22937,52,2019/3/4,6
7582,55,2019/3/4,1
6030,93,2019/3/4,1
11076,346,2019/3/4,2
19439,317,2019/3/4,3
5937,485,2019/3/4,6
15508,31,2019/3/4,9
20055,438,2019/3/4,3
2499,182,2019/3/4,5
24853,78,2019/3/4,2
7912,450,2019/3/4,7
6904,166,2019/3/4,4
23132,275,2019/3/4,4
2756,204,2019/3/4,2
4970,132,2019/3/4,8
15033,443,2019/3/4,1
23733,490,2019/3/4,1
16933,41,2019/3/4,1
20070,9,2019/3/4,3
288,137,2019/3/4,7
6332,493,2019/3/4,6
3280,153,2019/3/4,6
21143,266,2019/3/4,5
8431,443,2019/3/4,3
16353,427,2019/3/4,6
24460,350,2019/3/4,7
3670,224,2019/3/4,3
19974,274,2019/3/4,2
21755,73,2019/3/4,2
13249,474,2019/3/4,3
3303,368,2019/3/4,7
4524,148,2019/3/4,1
17956,389,2019/3/4,5
19411,317,2019/3/4,10
1847,21,2019/3/4,2
6160,317,2019/3/4,6
12635,494,2019/3/4,17
13052,182,2019/3/4,1
20457,298,2019/3/4,1
13853,458,2019/3/4,2
6766,416,2019/3/3,1
15398,453,2019/3/3,3
12519,320,2019/3/3,2
10773,313,2019/3/3,1
23834,257,2019/3/3,1
20610,282,2019/3/3,1
14597,8,2019/3/3,1
14891,287,2019/3/3,1
13346,481,2019/3/3,5
17495,434,2019/3/3,2
24119,216,2019/3/3,5
676,182,2019/3/3,9
20134,220,2019/3/3,3
17868,408,2019/3/3,2
7859,282,2019/3/3,5
21992,431,2019/3/3,1
3559,104,2019/3/3,1
10714,282,2019/3/3,1
24576,326,2019/3/3,5
3019,264,2019/3/3,6
19120,343,2019/3/3,5
20914,395,2019/3/3,2
21385,263,2019/3/3,6
4,325,2019/3/3,4
14976,304,2019/3/3,2
23239,214,2019/3/3,1
4256,189,2019/3/3,4
24379,450,2019/3/3,4
2825,281,2019/3/3,7
11872,345,2019/3/3,6
9634,137,2019/3/3,4
3360,47,2019/3/3,1
21857,438,2019/3/3,2
13586,106,2019/3/3,6
418,490,2019/3/3,2
13856,31,2019/3/3,3
18667,12,2019/3/3,4
14015,6,2019/3/3,1
18983,261,2019/3/3,6
1434,386,2019/3/3,1
6908,478,2019/3/3,2
25001,236,2019/3/3,1
8034,464,2019/3/3,12
21123,257,2019/3/3,4
24404,301,2019/3/3,7
14400,1,2019/3/3,3
6185,473,2019/3/3,4
22018,73,2019/3/3,14
383,491,2019/3/3,4
24091,191,2019/3/3,4
2856,101,2019/3/3,1
1384,473,2019/3/3,2
15989,52,2019/3/3,5
1246,7,2019/3/2,3
149,484,2019/3/2,4
12532,445,2019/3/2,1
7114,20,2019/3/2,5
3178,221,2019/3/2,9
10015,380,2019/3/2,16
13785,496,2019/3/2,20
19291,197,2019/3/2,3
18708,336,2019/3/2,3
4662,29,2019/3/2,3
20896,291,2019/3/2,4
5111,259,2019/3/2,1
18305,389,2019/3/2,1
2152,125,2019/3/2,1
18932,488,2019/3/2,6
15218,457,2019/3/2,8
11715,310,2019/3/2,2
1735,456,2019/3/2,2
14425,213,2019/3/2,3
22623,54,2019/3/2,1
698,215,2019/3/2,4
10073,42,2019/3/2,5
13941,148,2019/3/2,1
24495,1,2019/3/2,2
19079,172,2019/3/2,4
2031,431,2019/3/2,4
4893,100,2019/3/2,1
15532,209,2019/3/2,2
25242,259,2019/3/2,2
18492,61,2019/3/2,1
10715,182,2019/3/2,3
15807,278,2019/3/2,2
4035,55,2019/3/2,6
7315,218,2019/3/2,7
21308,146,2019/3/2,10
12517,222,2019/3/2,4
13197,368,2019/3/2,5
15453,156,2019/3/2,18
10655,194,2019/3/2,1
5631,195,2019/3/2,5
11692,158,2019/3/2,5
21102,319,2019/3/2,2
2245,258,2019/3/2,1
10575,114,2019/3/2,1
20936,377,2019/3/1,2
21641,46,2019/3/1,5
7309,424,2019/3/1,1
6962,199,2019/3/1,7
6551,208,2019/3/1,4
21140,188,2019/3/1,2
25009,101,2019/3/1,3
11218,214,2019/3/1,1
7399,375,2019/3/1,3
10561,49,2019/3/1,2
18329,483,2019/3/1,1
24360,141,2019/3/1,3
18424,338,2019/3/1,6
350,175,2019/3/1,1
14412,22,2019/3/1,1
5304,182,2019/3/1,19
18935,149,2019/3/1,26
12861,168,2019/3/1,1
12807,192,2019/3/1,1
22647,55,2019/3/1,9
3812,36,2019/3/1,1
20059,80,2019/3/1,1
14010,206,2019/3/1,1
16119,433,2019/3/1,7
21330,51,2019/3/1,1
14351,282,2019/3/1,6
1793,451,2019/3/1,5
22447,402,2019/3/1,1
20246,228,2019/3/1,2
14754,395,2019/3/1,6
22711,378,2019/3/1,4
1656,293,2019/3/1,3
16519,461,2019/3/1,6
7537,71,2019/3/1,6
4756,271,2019/3/1,4
917,162,2019/3/1,1
24090,366,2019/3/1,1
614,126,2019/3/1,9
2891,65,2019/3/1,2
5,224,2019/3/1,5
25153,168,2019/3/1,1
12038,107,2019/3/1,6
16045,186,2019/3/1,18
11507,263,2019/2/28,7
18420,436,2019/2/28,1
2381,406,2019/2/28,7
22720,53,2019/2/28,3
24702,281,2019/2/28,1
18880,341,2019/2/28,1
24399,493,2019/2/28,2
23435,16,2019/2/28,31
8732,280,2019/2/28,8
20746,462,2019/2/28,19
15467,141,2019/2/28,1
11914,72,2019/2/28,14
14968,188,2019/2/28,6
20385,258,2019/2/28,2
15146,433,2019/2/28,1
12895,464,2019/2/28,2
7465,277,2019/2/28,6
24172,495,2019/2/28,7
8624,446,2019/2/28,6
10527,255,2019/2/28,4
5610,288,2019/2/28,6
21448,364,2019/2/28,1
17946,202,2019/2/28,4
14134,22,2019/2/28,7
17884,415,2019/2/28,3
5507,246,2019/2/28,4
6450,352,2019/2/28,3
6396,99,2019/2/28,5
2306,259,2019/2/28,4
9372,360,2019/2/28,2
4422,421,2019/2/28,6
16795,338,2019/2/28,5
23772,136,2019/2/28,6
23117,469,2019/2/28,3
5507,129,2019/2/28,6
22957,51,2019/2/28,1
1070,180,2019/2/28,4
16128,420,2019/2/28,4
3712,342,2019/2/28,6
3670,158,2019/2/28,2
21981,408,2019/2/28,1
6105,30,2019/2/28,6
18735,459,2019/2/28,5
17779,440,2019/2/28,5
17911,173,2019/2/28,5
944,334,2019/2/28,3
22470,20,2019/2/28,2
18287,306,2019/2/28,2
7919,275,2019/2/28,3
726,414,2019/2/28,6
8907,243,2019/2/28,3
16716,379,2019/2/28,1
19851,120,2019/2/28,2
20492,170,2019/2/28,1
8099,111,2019/2/28,1
3971,160,2019/2/28,5
13044,48,2019/2/28,10
4057,91,2019/2/27,5
20997,175,2019/2/27,4
2039,222,2019/2/27,3
1802,482,2019/2/27,3
5893,273,2019/2/27,1
11737,428,2019/2/27,14
24193,418,2019/2/27,5
262,272,2019/2/27,4
17591,454,2019/2/27,3
3145,405,2019/2/27,18
17082,140,2019/2/27,3
19279,132,2019/2/27,1
20487,17,2019/2/27,15
6259,352,2019/2/27,7
16380,219,2019/2/27,1
5547,112,2019/2/27,4
22574,469,2019/2/27,3
11685,480,2019/2/27,1
15482,76,2019/2/27,6
12820,91,2019/2/27,16
4737,68,2019/2/27,3
14133,12,2019/2/27,37
19711,191,2019/2/27,2
164,296,2019/2/27,5
10122,218,2019/2/27,1
9427,213,2019/2/27,2
4913,140,2019/2/27,1
15035,23,2019/2/27,3
9573,47,2019/2/27,4
2616,261,2019/2/27,2
24001,178,2019/2/27,4
9112,273,2019/2/27,2
9807,134,2019/2/27,6
18052,359,2019/2/27,1
12320,481,2019/2/27,3
13874,382,2019/2/27,6
8635,492,2019/2/27,7
2855,123,2019/2/27,3
12843,74,2019/2/27,7
17106,323,2019/2/27,3
18717,96,2019/2/27,1
19279,421,2019/2/27,6
5489,452,2019/2/27,1
11793,343,2019/2/27,1
4238,172,2019/2/27,3
4740,82,2019/2/27,1
8451,44,2019/2/27,6
18472,154,2019/2/27,1
20284,58,2019/2/27,1
3647,273,2019/2/27,3
9892,101,2019/2/27,6
14950,148,2019/2/27,5
20043,354,2019/2/27,3
3559,14,2019/2/27,3
16157,75,2019/2/27,7
14893,381,2019/2/27,6
6191,312,2019/2/27,4
12857,60,2019/2/27,23
19616,466,2019/2/26,7
23901,212,2019/2/26,3
16209,79,2019/2/26,2
22082,118,2019/2/26,1
24582,313,2019/2/26,5
7639,300,2019/2/26,1
20116,25,2019/2/26,1
23292,139,2019/2/26,2
18954,75,2019/2/26,4
13998,441,2019/2/26,6
20741,156,2019/2/26,3
16181,445,2019/2/26,5
10117,362,2019/2/26,1
21316,473,2019/2/26,1
10576,282,2019/2/26,1
3483,113,2019/2/26,2
15788,280,2019/2/26,1
5756,448,2019/2/26,3
2476,336,2019/2/26,3
3924,438,2019/2/26,4
11905,426,2019/2/26,4
23881,359,2019/2/26,3
13106,271,2019/2/26,8
16224,34,2019/2/26,7
21266,307,2019/2/26,3
23724,28,2019/2/26,2
2221,361,2019/2/26,4
9479,117,2019/2/26,5
15249,289,2019/2/26,5
16801,284,2019/2/26,2
17274,325,2019/2/26,2
7557,466,2019/2/26,7
284,385,2019/2/26,2
11505,313,2019/2/26,35
10256,424,2019/2/26,6
1804,262,2019/2/26,6
7202,378,2019/2/26,2
24995,101,2019/2/26,3
3167,336,2019/2/26,1
1355,179,2019/2/26,1
18989,299,2019/2/26,3
22735,307,2019/2/26,5
11091,184,2019/2/26,7
1514,47,2019/2/26,1
15569,219,2019/2/26,1
5930,142,2019/2/26,2
3013,311,2019/2/26,3
9591,483,2019/2/26,1
8400,151,2019/2/26,3
19813,464,2019/2/26,1
21120,458,2019/2/26,1
2660,192,2019/2/26,6
24877,32,2019/2/26,3
15305,117,2019/2/26,1
13455,112,2019/2/26,1
12486,236,2019/2/25,5
11838,212,2019/2/25,1
24179,349,2019/2/25,7
2918,274,2019/2/25,6
13815,103,2019/2/25,1
8644,383,2019/2/25,6
9701,23,2019/2/25,2
16699,486,2019/2/25,2
3756,283,2019/2/25,4
16062,196,2019/2/25,1
5967,429,2019/2/25,12
15109,336,2019/2/25,3
5683,7,2019/2/25,6
7399,333,2019/2/25,2
6788,266,2019/2/25,2
7211,356,2019/2/25,2
12116,393,2019/2/25,5
21686,141,2019/2/25,36
5049,448,2019/2/25,6
17779,22,2019/2/25,3
3257,5,2019/2/25,9
11025,374,2019/2/25,1
15205,396,2019/2/25,6
17023,77,2019/2/25,18
19403,490,2019/2/25,9
1825,177,2019/2/25,1
24828,203,2019/2/25,4
12346,180,2019/2/25,6
10836,212,2019/2/25,15
23725,245,2019/2/25,18
8691,330,2019/2/25,4
9057,97,2019/2/25,6
3233,64,2019/2/25,4
24138,195,2019/2/25,5
22260,106,2019/2/25,3
14849,223,2019/2/25,5
10121,234,2019/2/25,2
16512,434,2019/2/25,6
8026,9,2019/2/25,3
15655,488,2019/2/25,6
10066,133,2019/2/25,2
6992,143,2019/2/25,5
12277,49,2019/2/25,1
4917,93,2019/2/25,1
9766,439,2019/2/25,3
11281,152,2019/2/25,5
15794,102,2019/2/25,6
182,143,2019/2/25,3
22330,372,2019/2/25,1
20715,228,2019/2/25,5
14382,337,2019/2/25,1
6982,323,2019/2/25,5
10185,37,2019/2/25,1
12877,396,2019/2/25,12
22998,432,2019/2/25,4
2452,193,2019/2/25,3
15042,29,2019/2/25,1
12507,496,2019/2/25,3
18269,241,2019/2/25,2
5463,160,2019/2/25,7
7544,178,2019/2/25,4
12119,324,2019/2/25,6
13127,403,2019/2/25,1
2461,279,2019/2/24,6
23901,22,2019/2/24,1
23782,485,2019/2/24,1
14884,421,2019/2/24,1
12243,346,2019/2/24,3
22231,123,2019/2/24,1
14238,34,2019/2/24,3
24653,81,2019/2/24,5
17248,223,2019/2/24,3
11059,24,2019/2/24,9
21117,163,2019/2/24,4
6816,330,2019/2/24,1
533,8,2019/2/24,6
14809,282,2019/2/24,18
20386,404,2019/2/24,6
7774,378,2019/2/24,6
10078,27,2019/2/24,1
10064,416,2019/2/24,4
10628,487,2019/2/24,6
21756,462,2019/2/24,7
17778,31,2019/2/24,3
9283,283,2019/2/24,17
16977,246,2019/2/24,2
25160,25,2019/2/24,2
6625,477,2019/2/24,1
23334,307,2019/2/24,1
24903,97,2019/2/24,1
12638,334,2019/2/24,2
7938,300,2019/2/24,18
3402,375,2019/2/24,2
22271,210,2019/2/24,6
18544,158,2019/2/24,3
1330,95,2019/2/24,9
17691,403,2019/2/24,3
4163,85,2019/2/24,2
21549,17,2019/2/24,1
14555,156,2019/2/24,5
11711,389,2019/2/24,3
14175,142,2019/2/24,6
21297,60,2019/2/24,2
10278,286,2019/2/24,6
4808,367,2019/2/24,5
19552,464,2019/2/24,1
10785,48,2019/2/24,6
11253,281,2019/2/24,9
21408,308,2019/2/24,7
21729,471,2019/2/24,5
6268,140,2019/2/24,1
9228,339,2019/2/24,6
11870,30,2019/2/24,3
16837,14,2019/2/24,7
5484,367,2019/2/24,2
23903,339,2019/2/24,1
17596,400,2019/2/24,3
15202,95,2019/2/24,6
11390,358,2019/2/24,3
1748,329,2019/2/24,5
1797,293,2019/2/24,1
23796,70,2019/2/24,6
14443,435,2019/2/24,6
1709,421,2019/2/24,7
4035,173,2019/2/24,1
17976,297,2019/2/23,5
11877,447,2019/2/23,2
13734,455,2019/2/23,2
23609,204,2019/2/23,6
12373,344,2019/2/23,1
16917,467,2019/2/23,6
12401,88,2019/2/23,1
3685,113,2019/2/23,1
238,500,2019/2/23,2
7397,217,2019/2/23,6
1767,176,2019/2/23,3
16087,232,2019/2/23,6
19815,309,2019/2/23,4
7875,254,2019/2/23,1
12628,249,2019/2/23,4
6234,14,2019/2/23,6
20815,201,2019/2/23,4
16550,105,2019/2/23,7
4581,334,2019/2/23,5
22979,200,2019/2/23,5
2534,208,2019/2/23,3
3956,126,2019/2/23,9
20872,449,2019/2/23,6
21371,24,2019/2/23,3
12561,334,2019/2/23,6
9505,205,2019/2/23,1
14593,109,2019/2/23,7
2619,363,2019/2/23,3
12880,175,2019/2/23,2
5536,496,2019/2/23,6
4899,128,2019/2/23,1
24034,44,2019/2/23,2
15596,432,2019/2/23,2
5437,167,2019/2/23,7
17663,140,2019/2/23,4
14361,320,2019/2/23,5
20095,148,2019/2/23,7
1735,226,2019/2/23,2
11307,66,2019/2/23,5
3677,426,2019/2/23,6
19551,80,2019/2/23,3
5198,214,2019/2/23,4
3933,476,2019/2/23,19
4225,376,2019/2/23,4
15003,96,2019/2/23,3
7110,271,2019/2/23,1
21837,296,2019/2/23,2
16811,147,2019/2/23,7
14282,347,2019/2/23,6
6231,226,2019/2/23,1
12617,212,2019/2/23,12
2079,207,2019/2/23,4
21541,371,2019/2/23,4
18486,431,2019/2/23,1
15952,465,2019/2/22,4
11859,205,2019/2/22,4
12350,222,2019/2/22,8
18102,145,2019/2/22,10
11258,12,2019/2/22,6
5322,496,2019/2/22,1
